#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2020,8,2,2,40,999,5.5,6.8,0.71,5.88,4.3,124,1014.9,999,29.5,999,99,99
2020,8,2,2,50,999,5.8,7.3,99,99,99,999,1014.9,999,29.5,999,99,99
2020,8,2,3,0,999,5.9,7.2,99,99,99,999,1014.9,999,29.5,999,99,99
2020,8,2,3,10,999,6.2,7.4,99,99,99,999,1014.9,999,29.5,999,99,99
2020,8,2,3,20,999,6.2,7.4,99,99,99,999,1014.8,999,29.5,999,99,99
2020,8,2,3,30,999,6.1,7.2,99,99,99,999,1014.8,999,29.5,999,99,99
2020,8,2,3,40,999,6.1,7.5,0.79,6.25,4.31,128,1014.8,999,29.5,999,99,99
2020,8,2,3,50,999,6,7.4,99,99,99,999,1014.6,999,29.4,999,99,99
2020,8,2,4,0,999,6.1,7.6,99,99,99,999,1014.6,999,29.4,999,99,99
2020,8,2,4,10,999,6.2,7.3,99,99,99,999,1014.6,999,29.4,999,99,99
2020,8,2,4,20,999,6.2,7.6,99,99,99,999,1014.6,999,29.4,999,99,99
2020,8,2,4,30,999,5.9,7.1,99,99,99,999,1014.4,999,29.4,999,99,99
2020,8,2,4,40,999,6.3,7.4,0.81,5.88,4.28,120,1014.2,999,29.4,999,99,99
2020,8,2,4,50,999,6.4,7.9,99,99,99,999,1014.1,999,29.4,999,99,99
2020,8,2,5,0,999,6.5,7.7,99,99,99,999,1014.1,999,29.4,999,99,99
2020,8,2,5,10,999,6.2,7.4,99,99,99,999,1014.1,999,29.4,999,99,99
2020,8,2,5,20,999,6.1,7.7,99,99,99,999,1014.1,999,29.4,999,99,99
2020,8,2,5,30,999,6.3,7.2,99,99,99,999,1013.9,999,29.3,999,99,99
2020,8,2,5,40,999,6.3,7.3,0.84,5.56,4.4,114,1013.8,999,29.3,999,99,99
2020,8,2,5,50,999,6,7.2,99,99,99,999,1013.8,999,29.3,999,99,99
2020,8,2,6,0,999,6,7.3,99,99,99,999,1013.7,999,29.3,999,99,99
2020,8,2,6,10,999,5.8,7,99,99,99,999,1013.5,999,29.3,999,99,99
2020,8,2,6,20,999,5.8,7.1,99,99,99,999,1013.4,999,29.3,999,99,99
2020,8,2,6,30,999,5.6,7,99,99,99,999,1013.3,999,29.3,999,99,99
2020,8,2,6,40,999,5.8,6.9,0.86,5.88,4.42,122,1013.2,999,29.3,999,99,99
2020,8,2,6,50,999,6.2,7.5,99,99,99,999,1013,999,29.3,999,99,99
2020,8,2,7,0,999,6.3,7.8,99,99,99,999,1013,999,29.3,999,99,99
2020,8,2,7,10,999,6.3,7.6,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,7,20,999,5.9,7.4,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,7,30,999,6.1,7.2,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,7,40,999,6,7.7,0.92,6.67,4.39,136,1012.7,999,29.2,999,99,99
2020,8,2,7,50,999,6.1,7.1,99,99,99,999,1012.7,999,29.2,999,99,99
2020,8,2,8,0,999,5.9,7.2,99,99,99,999,1012.7,999,29.3,999,99,99
2020,8,2,8,10,999,6,7.2,99,99,99,999,1012.6,999,29.2,999,99,99
2020,8,2,8,20,999,5.5,7.1,99,99,99,999,1012.5,999,29.2,999,99,99
2020,8,2,8,30,999,6,7.2,99,99,99,999,1012.5,999,29.2,999,99,99
2020,8,2,8,40,999,6.5,7.6,0.86,6.67,4.4,140,1012.6,999,29.2,999,99,99
2020,8,2,8,50,999,6.4,7.7,99,99,99,999,1012.6,999,29.3,999,99,99
2020,8,2,9,0,999,6.4,7.6,99,99,99,999,1012.6,999,29.3,999,99,99
2020,8,2,9,10,999,6.3,8.2,99,99,99,999,1012.6,999,29.2,999,99,99
2020,8,2,9,20,999,6.3,8.4,99,99,99,999,1012.7,999,29.3,999,99,99
2020,8,2,9,30,999,6.2,7.7,99,99,99,999,1012.7,999,29.2,999,99,99
2020,8,2,9,40,999,6.2,7.4,0.87,5.26,4.34,95,1012.8,999,29.3,999,99,99
2020,8,2,9,50,999,6,7.4,99,99,99,999,1012.7,999,29.2,999,99,99
2020,8,2,10,0,999,5.9,7.2,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,10,10,999,6.1,7.4,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,10,20,999,6.2,7.3,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,10,30,999,6,7.2,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,10,40,999,6.1,7.1,0.91,4.17,4.18,45,1012.9,999,29.3,999,99,99
2020,8,2,10,50,999,6,7.5,99,99,99,999,1013,999,29.3,999,99,99
2020,8,2,11,0,999,6.3,7.3,99,99,99,999,1013.1,999,29.3,999,99,99
2020,8,2,11,10,999,6.3,8.1,99,99,99,999,1013.3,999,29.3,999,99,99
2020,8,2,11,20,999,6.4,7.7,99,99,99,999,1013.3,999,29.3,999,99,99
2020,8,2,11,30,999,6,7.4,99,99,99,999,1013.3,999,29.2,999,99,99
2020,8,2,11,40,999,5.7,6.9,0.89,4.55,4.23,49,1013.5,999,29.2,999,99,99
2020,8,2,11,50,999,5.8,7.1,99,99,99,999,1013.5,999,29.3,999,99,99
2020,8,2,12,0,999,6,7.3,99,99,99,999,1013.5,999,29.3,999,99,99
2020,8,2,12,10,999,6.4,8,99,99,99,999,1013.5,999,29.3,999,99,99
2020,8,2,12,20,999,6.1,7.4,99,99,99,999,1013.5,999,29.3,999,99,99
2020,8,2,12,30,999,6.1,7.9,99,99,99,999,1013.5,999,29.3,999,99,99
2020,8,2,12,40,999,5.8,7.5,0.87,4.35,4.18,42,1013.7,999,29.3,999,99,99
2020,8,2,12,50,999,6.4,7.7,99,99,99,999,1013.8,999,29.3,999,99,99
2020,8,2,13,0,999,6,7.2,99,99,99,999,1013.9,999,29.3,999,99,99
2020,8,2,13,10,999,5.8,6.9,99,99,99,999,1013.9,999,29.3,999,99,99
2020,8,2,13,20,999,5.5,6.7,99,99,99,999,1014,999,29.3,999,99,99
2020,8,2,13,30,999,4.9,6.6,99,99,99,999,1014.1,999,29.3,999,99,99
2020,8,2,13,40,999,5,6.2,0.87,4.35,4.35,34,1014,999,29.3,999,99,99
2020,8,2,13,50,999,4.8,5.8,99,99,99,999,1014,999,29.3,999,99,99
2020,8,2,14,0,999,4.7,5.8,99,99,99,999,1014.1,999,29.3,999,99,99
2020,8,2,14,10,999,5,6.1,99,99,99,999,1014.1,999,29.3,999,99,99
2020,8,2,14,20,999,5.2,6.4,99,99,99,999,1014.1,999,29.3,999,99,99
2020,8,2,14,30,999,4.9,5.9,99,99,99,999,1014.1,999,29.3,999,99,99
2020,8,2,14,40,999,5.1,6.1,0.91,4.55,4.38,42,1014.3,999,29.3,999,99,99
2020,8,2,14,50,999,5,6,99,99,99,999,1014.3,999,29.3,999,99,99
2020,8,2,15,0,999,4.8,6,99,99,99,999,1014.4,999,29.3,999,99,99
2020,8,2,15,10,999,4.9,5.9,99,99,99,999,1014.6,999,29.3,999,99,99
2020,8,2,15,20,999,4.4,5.5,99,99,99,999,1014.8,999,29.3,999,99,99
2020,8,2,15,30,999,4.3,5.3,99,99,99,999,1014.7,999,29.4,999,99,99
2020,8,2,15,40,999,4.7,6,0.83,4.76,4.36,28,1014.9,999,29.4,999,99,99
2020,8,2,15,50,999,4.6,5.4,99,99,99,999,1014.9,999,29.4,999,99,99
2020,8,2,16,0,999,4.6,5.6,99,99,99,999,1014.9,999,29.4,999,99,99
2020,8,2,16,10,999,4.7,5.8,99,99,99,999,1014.9,999,29.4,999,99,99
2020,8,2,16,20,999,4.6,5.6,99,99,99,999,1014.9,999,29.4,999,99,99
2020,8,2,16,30,999,3.9,4.8,99,99,99,999,1014.9,999,29.4,999,99,99
2020,8,2,16,40,999,4.1,5,0.8,4.55,4.46,32,1014.9,999,29.4,999,99,99
2020,8,2,16,50,999,3.9,4.7,99,99,99,999,1015,999,29.4,999,99,99
2020,8,2,17,0,999,3.6,4.4,99,99,99,999,1014.9,999,29.4,999,99,99
2020,8,2,17,10,999,3.2,4.5,99,99,99,999,1014.8,999,29.5,999,99,99
2020,8,2,17,20,999,3.4,4.5,99,99,99,999,1014.9,999,29.5,999,99,99
2020,8,2,17,30,999,4.6,5.7,99,99,99,999,1014.8,999,29.5,999,99,99
2020,8,2,17,40,999,4.6,5.8,0.78,4.76,4.37,41,1014.8,999,29.5,999,99,99
2020,8,2,17,50,999,4.6,5.5,99,99,99,999,1014.7,999,29.5,999,99,99
2020,8,2,18,0,999,4.1,5.1,99,99,99,999,1014.6,999,29.6,999,99,99
2020,8,2,18,10,999,4.5,6.1,99,99,99,999,1014.5,999,29.6,999,99,99
2020,8,2,18,20,999,6.1,7.4,99,99,99,999,1014.4,999,29.5,999,99,99
2020,8,2,18,30,999,6,7.2,99,99,99,999,1014.4,999,29.6,999,99,99
2020,8,2,18,40,999,6.4,8.2,0.72,4.76,4.13,36,1014.2,999,29.6,999,99,99
2020,8,2,18,50,999,6.6,8,99,99,99,999,1014,999,29.6,999,99,99
2020,8,2,19,0,999,6.2,7.6,99,99,99,999,1013.9,999,29.6,999,99,99
2020,8,2,19,10,999,6.2,7.4,99,99,99,999,1013.8,999,29.6,999,99,99
2020,8,2,19,20,999,6,7.2,99,99,99,999,1013.6,999,29.6,999,99,99
2020,8,2,19,30,999,6.2,7.6,99,99,99,999,1013.6,999,29.6,999,99,99
2020,8,2,19,40,999,6.2,7.3,0.78,6.25,4.31,84,1013.5,999,29.6,999,99,99
2020,8,2,19,50,999,6.4,7.4,99,99,99,999,1013.5,999,29.6,999,99,99
2020,8,2,20,0,999,6,7.3,99,99,99,999,1013.3,999,29.6,999,99,99
2020,8,2,20,10,999,6.4,7.9,99,99,99,999,1013.2,999,29.6,999,99,99
2020,8,2,20,20,999,6,7.1,99,99,99,999,1013,999,29.6,999,99,99
2020,8,2,20,30,999,5.9,7.2,99,99,99,999,1013,999,29.6,999,99,99
2020,8,2,20,40,999,5.9,7,0.87,4.55,4.31,31,1013,999,29.6,999,99,99
2020,8,2,20,50,999,6.5,7.7,99,99,99,999,1013,999,29.6,999,99,99
2020,8,2,21,0,999,6.2,7.4,99,99,99,999,1012.9,999,29.5,999,99,99
2020,8,2,21,10,999,6.4,7.6,99,99,99,999,1012.8,999,29.5,999,99,99
2020,8,2,21,20,999,6.4,7.9,99,99,99,999,1012.7,999,29.5,999,99,99
2020,8,2,21,30,999,6.6,7.7,99,99,99,999,1012.7,999,29.5,999,99,99
2020,8,2,21,40,999,6.4,7.7,0.84,6.25,4.23,72,1012.6,999,29.5,999,99,99
2020,8,2,21,50,999,6.5,7.9,99,99,99,999,1012.6,999,29.5,999,99,99
2020,8,2,22,0,999,7,8.2,99,99,99,999,1012.5,999,29.5,999,99,99
2020,8,2,22,10,999,6.6,7.9,99,99,99,999,1012.6,999,29.4,999,99,99
2020,8,2,22,20,999,6.8,8.1,99,99,99,999,1012.7,999,29.4,999,99,99
2020,8,2,22,30,999,6.8,8.4,99,99,99,999,1012.7,999,29.4,999,99,99
2020,8,2,22,40,999,6.6,8.1,0.85,4.76,4.18,25,1012.7,999,29.4,999,99,99
2020,8,2,22,50,999,6.8,8.2,99,99,99,999,1012.7,999,29.4,999,99,99
2020,8,2,23,0,999,6.9,8,99,99,99,999,1012.7,999,29.4,999,99,99
2020,8,2,23,10,999,6.7,8.3,99,99,99,999,1012.7,999,29.3,999,99,99
2020,8,2,23,20,999,6.6,7.8,99,99,99,999,1012.8,999,29.3,999,99,99
2020,8,2,23,30,999,6.5,7.6,99,99,99,999,1012.9,999,29.3,999,99,99
2020,8,2,23,40,999,6.7,8,0.8,4.55,4.07,22,1012.9,999,29.3,999,99,99
2020,8,2,23,50,999,6.7,7.9,99,99,99,999,1013,999,29.3,999,99,99
